ring_id,vertex_id,x,y
0,0,-1760895.912,-584813.9
0,1,-1760731.665,-586682.043
0,2,-1760865.295,-588442.246
0,3,-1759151.199,-590564.274
0,4,-1758869.813,-592046.439
0,5,-1757514.933,-592822.066
0,6,-1757667.595,-593249.508
0,7,-1756603.579,-593843.278
0,8,-1755789.254,-595875.5
0,9,-1755332.665,-596244.424
0,10,-1754272.096,-598817.479
0,11,-1754658.051,-599134.758
0,12,-1753719.282,-600038.57
0,13,-1753271.684,-601424.05
0,14,-1753973.766,-601607.507
0,15,-1752229.822,-601905.588
0,16,-1750644.545,-604565.699
0,17,-1750385.148,-605230.559
0,18,-1751346.052,-606496.633
0,19,-1749821.471,-608257.792
0,20,-1748556.884,-615311.285
0,21,-1748991.689,-617171.983
0,22,-1747530.473,-617749.692
0,23,-1746638.126,-619616.68
0,24,-1746777.596,-620533.92
0,25,-1746015.383,-620637.739
0,26,-1745658.101,-623283.229
0,27,-1744519.629,-623503.561
0,28,-1744865.123,-625201.244
0,29,-1743028.155,-627418.784
0,30,-1741253.109,-627506.691
0,31,-1740891.443,-628873.974
0,32,-1738720.565,-628726.375
0,33,-1737507.635,-627377.745
0,34,-1738297.075,-626563.725
0,35,-1738016.281,-625525.943
0,36,-1738208.92,-624413.263
0,37,-1737080.284,-625328.188
0,38,-1738257.85,-625464.778
0,39,-1737062.297,-627221.01
0,40,-1736817.817,-626291.694
0,41,-1735548.075,-625903.661
0,42,-1735365.911,-624368.58
0,43,-1733577.515,-623558.317
0,44,-1733164.039,-621868.328
0,45,-1732110.213,-621828.828
0,46,-1732332.202,-620615.962
0,47,-1730645.677,-621045.752
0,48,-1730402.299,-619888.2
0,49,-1728109.634,-620312.589
0,50,-1727795.225,-618561.815
0,51,-1729381.795,-618759.233
0,52,-1729093.82,-617834.228
0,53,-1728689.154,-618473.878
0,54,-1727833.786,-618640.908
0,55,-1729342.421,-617470.661
0,56,-1728772.883,-616950.688
0,57,-1728804.491,-617763.031
0,58,-1727707.555,-618640.612
0,59,-1726824.01,-617764.357
0,60,-1726741.096,-618122.973
0,61,-1725801.639,-616288.66
0,62,-1725720.626,-613528.963
0,63,-1726179.982,-616064.369
0,64,-1727025.777,-616792.953
0,65,-1726326.404,-614520.015
0,66,-1726246.856,-610945.313
0,67,-1726637.341,-607439.058
0,68,-1728393.42,-602839.154
0,69,-1729340.837,-601625.817
0,70,-1730414.394,-601445.259
0,71,-1731467.3,-599615.021
0,72,-1733965.881,-598593.219
0,73,-1735147.234,-598813.32
0,74,-1735436.385,-599594.979
0,75,-1738503.108,-597190.595
0,76,-1740313.559,-594662.065
0,77,-1742351.999,-590646.841
0,78,-1743217.594,-588053.603
0,79,-1743442.809,-586079.458
0,80,-1745811.385,-582957.42
0,81,-1748908.846,-576615.541
0,82,-1749452.131,-576668.444
0,83,-1749623.143,-575718.5
0,84,-1751273.032,-574876.069
0,85,-1751980.583,-574973.99
0,86,-1754737.707,-574270.689
0,87,-1755795.886,-574553.983
0,88,-1758808.614,-573112.786
0,89,-1759895.061,-574113.262
0,90,-1759675.275,-574913.51
0,91,-1760054.079,-576005.704
0,92,-1760504.393,-575188.664
0,93,-1761949.495,-575235.671
0,94,-1762819.611,-576598.668
0,95,-1762676.738,-578750.164
0,96,-1760680.15,-580819.731
0,97,-1760763.249,-582661.518
0,98,-1760419.771,-582888.977
Total signed area in input: 9.432032e+08
Total signed area in output: 9.432032e+08
Total areal displacement: 7.750366e+00
